Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2
,1,0.1,,174,22,0.1702825219999795,9,10.0,7.764001410623462,0.4265299558924153,0.9910225178945022
,1,0.0533669923120631,,336,40,0.04839293499981068,10,18.73817422860384,10.14873604479495,0.4265299558924153,0.9910225178945022
,1,0.02848035868435802,,638,74,0.05790039799967417,13,35.11191734215131,13.265948556628281,0.4265299558924153,0.9910225178945022
,1,0.01519911082952934,,1170,134,0.09950219699976515,17,65.79332246575679,17.34062156413722,0.4265299558924153,0.9910225178945022
,1,0.008111308307896872,,2154,250,0.19484263599997576,20,123.28467394420659,22.666841722402015,0.4265299558924153,0.9910225178945022
,1,0.004328761281083062,,3976,466,0.4838459560000956,29,231.0129700083158,29.629025220814686,0.4265299558924153,0.9910225178945022
,1,0.0023101297000831605,,7351,868,1.0901354179995906,39,432.8761281083057,38.72966275085649,0.4265299558924153,0.9910225178945022
,1,0.0012328467394420659,,13970,1626,2.4388517909997063,47,811.1308307896873,50.62558641791986,0.4265299558924153,0.9910225178945022
,1,0.0006579332246575682,,25863,3042,6.244873162000204,63,1519.9110829529332,66.17537613599778,0.4265299558924153,0.9910225178945022
,1,0.0003511191734215135,,48894,5700,9.93093832600016,90,2848.035868435799,86.5013270283955,0.4265299558924153,0.9910225178945022
,1,0.0001873817422860385,,90353,10676,47.830286633000014,138,5336.699231206308,113.07045028797569,0.4265299558924153,0.9910225178945022
,1,0.0001,,151660,20002,108.62965866800005,138,10000.0,147.80035367698713,0.4265299558924153,0.9910225178945022
,2,0.1,,634,42,0.080745422000291,7,10.0,4.971871401190832,0.3340851929432397,0.9233700981714703
,2,0.0533669923120631,,1256,78,0.07360258400012754,7,18.73817422860384,6.132450205607696,0.3340851929432397,0.9233700981714703
,2,0.02848035868435802,,2422,146,0.10946223300015845,8,35.11191734215131,7.5639417212702815,0.3340851929432397,0.9233700981714703
,2,0.01519911082952934,,4482,266,0.21225986400031616,8,65.79332246575679,9.329584822467169,0.3340851929432397,0.9233700981714703
,2,0.008111308307896872,,8290,498,0.25769234299968957,8,123.28467394420659,11.507380168575935,0.3340851929432397,0.9233700981714703
,2,0.004328761281083062,,15354,930,0.479340262000278,13,231.0129700083158,14.193536032305117,0.3340851929432397,0.9233700981714703
,2,0.0023101297000831605,,28444,1734,0.8909831309997571,15,432.8761281083057,17.5067184840626,0.3340851929432397,0.9233700981714703
,2,0.0012328467394420659,,54150,3250,2.001102744000036,18,811.1308307896873,21.59329369246996,0.3340851929432397,0.9233700981714703
,2,0.0006579332246575682,,100298,6082,4.482225687000209,25,1519.9110829529332,26.633793929669693,0.3340851929432397,0.9233700981714703
,2,0.0003511191734215135,,189752,11398,19.87107048300004,33,2848.035868435799,32.85089292957094,0.3340851929432397,0.9233700981714703
,2,0.0001873817422860385,,350604,21350,51.33685078000008,60,5336.699231206308,40.519242925730566,0.3340851929432397,0.9233700981714703
,2,0.0001,,586494,40002,91.8081239410003,54,10000.0,49.97760793882353,0.3340851929432397,0.9233700981714703
