Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations
0.013894954943731374,1,0.01,,52323,1442,1.211942566000289,8
0.013894954943731374,2,0.1,,208650,2882,8.103121291999742,2
0.013894954943731374,2,0.046415888336127795,,206758,2882,10.413287940999908,2
0.013894954943731374,2,0.021544346900318846,,205898,2882,19.05281352700058,2
0.013894954943731374,2,0.01,,207402,2882,8.552349569000398,2
0.013894954943731374,3,0.1,,468035,4322,33.2778943050007,2
0.013894954943731374,3,0.046415888336127795,,463784,4322,24.245652878000328,2
0.013894954943731374,3,0.021544346900318846,,461852,4322,39.39955517999988,2
0.013894954943731374,3,0.01,,465239,4322,27.06486512399988,2
0.01,1,0.1,,100765,2002,2.3580327950003266,5
0.01,1,0.046415888336127795,,98517,2002,2.0719916150001154,6
0.01,1,0.021544346900318846,,98621,2002,3.369942758000434,7
0.01,1,0.01,,98215,2002,3.3001376970005367,9
0.01,2,0.1,,400418,4002,20.06151056300041,2
0.01,2,0.046415888336127795,,391438,4002,18.714708215000428,2
0.01,2,0.021544346900318846,,391858,4002,26.17064281400053,2
0.01,2,0.01,,390238,4002,17.451472429000205,2
0.01,3,0.1,,898961,6002,175.6426251569992,2
0.01,3,0.046415888336127795,,878765,6002,74.18325300299966,2
0.01,3,0.021544346900318846,,879713,6002,57.81065357700027,2
0.01,3,0.01,,876071,6002,106.81899657199938,2
