Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.1,1,0.01,0.0,16970,3002,1.6779862189996493,28,100.0,29.56697649396048,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.01,0.5,16904,1502,0.7439775050006574,22,100.0,22.86791874691691,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.01,0.9,16885,302,0.2862866550003673,14,100.0,13.486382260694475,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.006579332246575682,0.0,16998,3002,1.6399943300002633,37,151.99110829529332,35.34414986183339,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.006579332246575682,0.5,17138,1502,0.6899258609992103,25,151.99110829529332,27.52304947265612,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.006579332246575682,0.9,17141,302,0.32715794700015977,16,151.99110829529332,16.086974518811203,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.004328761281083057,0.0,16981,3002,1.745329227000184,41,231.01297000831602,42.25014112318546,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.004328761281083057,0.5,16933,1502,1.2642547949999425,32,231.01297000831602,33.12580653525395,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.004328761281083057,0.9,17003,302,0.3762769840013789,18,231.01297000831602,19.18904152102499,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.002848035868435802,0.0,16928,3002,2.0439439049987413,46,351.1191734215131,50.50551313038402,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.002848035868435802,0.5,16899,1502,1.1177128700001049,42,351.1191734215131,39.869094436692,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.002848035868435802,0.9,16974,302,0.32759609300046577,22,351.1191734215131,22.889283131831025,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.001873817422860383,0.0,16975,3002,2.702255776999664,62,533.6699231206312,60.37392512195884,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.001873817422860383,0.5,17057,1502,1.3630480709998665,51,533.6699231206312,47.985086476617624,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.001873817422860383,0.9,17033,302,0.47796201500023017,27,533.6699231206312,27.303045945003472,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0012328467394420659,0.0,17050,3002,6.57122114699996,70,811.1308307896873,72.17055344476958,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0012328467394420659,0.5,17055,1502,1.8659695040005317,57,811.1308307896873,57.75321854437178,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0012328467394420659,0.9,17058,302,0.46220232700034103,33,811.1308307896873,32.567918950607066,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0008111308307896872,0.0,17053,3002,4.101667390999864,88,1232.8467394420659,86.27215762438321,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0008111308307896872,0.5,17089,1502,1.8321144649999042,71,1232.8467394420659,69.50981017527754,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0008111308307896872,0.9,17072,302,0.49742097399939667,39,1232.8467394420659,38.848022557989204,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0005336699231206312,0.0,17033,3002,5.491526890999012,126,1873.8174228603832,103.12911327280159,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0005336699231206312,0.5,17033,1502,2.44325839999874,95,1873.8174228603832,83.65964412686351,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0005336699231206312,0.9,17045,302,0.701315603000694,47,1873.8174228603832,46.33912467526291,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0003511191734215131,0.0,17126,3002,5.300028348001433,131,2848.035868435802,123.27979613933275,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0003511191734215131,0.5,17054,1502,3.1210426990000997,107,2848.035868435802,100.68990316308985,0.4425845068895689,0.9832098637542601,1.0915580243526826
