Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
,1,0.1,,174,22,0.13907562699750997,9,10.0,7.764001410623462,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0533669923120631,,336,40,0.04277725800056942,10,18.73817422860384,10.14873604479495,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.02848035868435802,,638,74,0.04959590699945693,13,35.11191734215131,13.265948556628281,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.01519911082952934,,1170,134,0.07766116900165798,17,65.79332246575679,17.34062156413722,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.008111308307896872,,2154,250,0.11353055399740697,20,123.28467394420659,22.666841722402015,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.004328761281083062,,3976,466,0.2420651149986952,29,231.0129700083158,29.629025220814686,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0023101297000831605,,7351,868,0.5818389560008654,39,432.8761281083057,38.72966275085649,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0012328467394420659,,13970,1626,1.722511021001992,47,811.1308307896873,50.62558641791986,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0006579332246575682,,25863,3042,3.9590034739994735,63,1519.9110829529332,66.17537613599778,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0003511191734215135,,48894,5700,7.913107894000859,90,2848.035868435799,86.5013270283955,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0001873817422860385,,90353,10676,44.57768082199982,138,5336.699231206308,113.07045028797569,0.4265299558924153,0.9910225178945022,1.0673763288411844
,1,0.0001,,151660,20002,58.09967462499844,138,10000.0,147.80035367698713,0.4265299558924153,0.9910225178945022,1.0673763288411844
,2,0.1,,634,42,0.051010742001381004,7,10.0,4.971871401190832,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0533669923120631,,1256,78,0.04747676599799888,7,18.73817422860384,6.132450205607696,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.02848035868435802,,2422,146,0.0524119490000885,8,35.11191734215131,7.5639417212702815,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.01519911082952934,,4482,266,0.08700959400084685,8,65.79332246575679,9.329584822467169,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.008111308307896872,,8290,498,0.17284822600049665,8,123.28467394420659,11.507380168575935,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.004328761281083062,,15354,930,0.3607039710004756,13,231.0129700083158,14.193536032305117,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0023101297000831605,,28444,1734,1.1235432269968442,15,432.8761281083057,17.5067184840626,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0012328467394420659,,54150,3250,2.3456395530010923,18,811.1308307896873,21.59329369246996,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0006579332246575682,,100298,6082,3.936985052001546,25,1519.9110829529332,26.633793929669693,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0003511191734215135,,189752,11398,13.958539880997705,33,2848.035868435799,32.85089292957094,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0001873817422860385,,350604,21350,33.89578228800019,60,5336.699231206308,40.519242925730566,0.3340851929432397,0.9233700981714703,0.8345367236492129
,2,0.0001,,586494,40002,53.72808308800086,54,10000.0,49.97760793882353,0.3340851929432397,0.9233700981714703,0.8345367236492129
