Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.2,1,0.1,,83222,48998,10.696583909999845,8,10.0,7.61517764333881,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.04869675251658631,,83761,48998,13.59084840100013,10,20.53525026457146,10.541309485232057,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.023713737056616554,,81325,48998,17.03959374399983,15,42.169650342858226,14.591807422987978,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.011547819846894581,,80084,48998,21.20750793699972,20,86.59643233600654,20.198709104201946,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.005623413251903491,,80297,48998,27.85694153700024,27,177.82794100389228,27.960062633051553,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.0027384196342643613,,80574,48998,36.261605884000346,38,365.1741272548377,38.70371608458557,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.001333521432163324,,80696,48998,52.682427258999724,54,749.8942093324558,53.575618138474795,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.0006493816315762113,,80669,48998,84.75562429600086,77,1539.9265260594918,74.16204822933874,0.4518864808980177,0.9985613071134413,0.9896362395149776
0.2,1,0.00031622776601683794,,80628,48998,98.45769363700038,102,3162.277660168379,102.65881362964599,0.4518864808980177,0.9985613071134413,0.9896362395149776
