Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.1,1,0.1,0.0,17794,3002,0.7783975349993852,10,10.0,9.480222377585285,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.1,0.5,17665,1506,0.44531609999830835,13,10.0,10.59774705452944,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.1,0.9,17636,306,0.24227775200051838,11,10.0,7.559373153182347,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0533669923120631,0.0,16359,3002,0.6061247039997397,12,18.73817422860384,12.56484783454412,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0533669923120631,0.5,16331,1504,0.48845483400145895,16,18.73817422860384,13.507532042521527,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0533669923120631,0.9,16287,304,0.25454804400033026,11,18.73817422860384,9.346790145269697,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.02848035868435802,0.0,16478,3002,0.7653919359981955,16,35.11191734215131,16.653132681626037,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.02848035868435802,0.5,16585,1502,0.43743265199918824,14,35.11191734215131,17.216246145615056,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.02848035868435802,0.9,16625,302,0.2081812179985718,9,35.11191734215131,11.556842644146075,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.01519911082952934,0.0,16805,3002,0.9989190830001462,22,65.79332246575679,22.071642391831904,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.01519911082952934,0.5,16900,1502,0.5526609970002028,19,65.79332246575679,21.943248434528588,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.01519911082952934,0.9,16914,302,0.25274317100047483,12,65.79332246575679,14.289462994859974,0.3379812628553227,0.9483573899890002,1.24455765294601
