Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.1,1,0.1,,17794,3002,0.7190273049999405,10,10.0,9.480222377585285,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0533669923120631,,16359,3002,0.5679698809999536,12,18.73817422860384,12.56484783454412,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.02848035868435802,,16478,3002,0.6972634769999786,16,35.11191734215131,16.653132681626037,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.01519911082952934,,16805,3002,0.9186611540000058,22,65.79332246575679,22.071642391831904,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.008111308307896872,,17011,3002,1.048761237000008,26,123.28467394420659,29.25319861352022,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.004328761281083062,,16982,3002,1.6115855120000333,41,231.0129700083158,38.77145225217812,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0023101297000831605,,16924,3002,2.0995840020000287,55,432.8761281083057,51.38670576174768,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0012328467394420659,,17050,3002,2.8460647480000034,70,811.1308307896873,68.10664485481293,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0006579332246575682,,16996,3002,3.5970465179999564,90,1519.9110829529332,90.26683078082289,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0003511191734215135,,17126,3002,5.071159987999977,131,2848.035868435799,119.63738276321664,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0001873817422860385,,16991,3002,10.44103923800003,180,5336.699231206308,158.56437221315653,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0001,,16949,3002,6.771826515000043,170,10000.0,210.1572230572293,0.44857526549984833,0.9914155390406753,1.2163250541172
